"","x"
"401",219671474
"402",219194766
"403",218719667
"404",218246148
"405",217774213
"406",217303857
"407",216834983
"408",216367701
"409",215901953
"410",215437715
"411",214974987
"412",214513819
"413",214054133
"414",213595882
"415",213139199
"416",212683939
"417",212230224
"418",211777920
"419",211327085
"420",210877659
"421",210429760
"422",209983241
"423",209538136
"424",209094504
"425",208652231
"426",208211392
"427",207771998
"428",207333944
"429",206897304
"430",206461972
"431",206028110
"432",205595532
"433",205164381
"434",204734562
"435",204306052
"436",203878922
"437",203453119
"438",203028627
"439",202605454
"440",202183562
"441",201763025
"442",201343802
"443",200925819
"444",200509197
"445",200093794
"446",199679683
"447",199266810
"448",198855239
"449",198444954
"450",198035858
"451",197628038
"452",197221449
"453",196816096
