species;population;N.ind;N.plots;pop.sd
Tabebuia capitata;42188512,81;49;31;13847931,2344861
Tabebuia cassinoides;18971697,0252;5;2;17184261,7365235
Tabebuia chrysantha;6000100,2246;8;5;4238902,85061548
Tabebuia fluviatilis;331578,7478;1;1;377175,957070369
Tabebuia impetiginosa;156697858,058;151;54;40261885,4658051
Tabebuia insignis;243510789,0276;573;24;107564471,122643
Tabebuia obscura;26883737,8632;19;12;10750952,2825417
Tabebuia roseoalba;126131992,7452;116;6;59332338,3596958
Tabebuia stenocalyx;7651224,6278;8;6;3165748,09815839
Tabebuia subtilis;407163,163;5;3;251844,259673164
Tabernaemontana angulata;8310395,3434;22;12;2587103,2222363
Tabernaemontana attenuata;6270558,3758;28;15;2499973,60028807
Tabernaemontana catharinensis;5874906,7274;6;3;3380910,21536397
Tabernaemontana cymosa;124778576,8706;85;29;43874079,3314322
Tabernaemontana disticha;14703212,9194;33;1;13380313,6358803
Tabernaemontana flavicans;1066247,3576;2;2;925965,289018322
Tabernaemontana heterophylla;1755655,309;2;1;1684889,68941411
Tabernaemontana linkii;19684342,052;5;2;13943040,6474932
Tabernaemontana lorifera;556971,9574;1;1;695889,559906259
Tabernaemontana macrocalyx;1270131,0074;1;1;1338313,19120371
Tabernaemontana muricata;14340434,1724;29;22;3857447,78964434
Tabernaemontana sananho;17938380,0864;23;17;4830200,02162807
Tabernaemontana siphilitica;3010494,5746;3;2;2377760,32044579
Tabernaemontana undulata;19867405,1406;17;10;12083310,9017504
Tabernaemontana vanheurckii;21154752,9126;9;2;18547659,5786513
Tachigali alba;47625701,6244;87;47;7922385,85899113
Tachigali albiflora;4473719,2206;28;9;1495306,28934891
Tachigali amplifolia;33837394,7462;28;10;12884496,5912125
Tachigali bracteolata;1613390,5856;5;3;1184667,22253113
Tachigali bracteosa;106093741,563;150;36;36471226,4727756
Tachigali cavipes;3279427,275;3;2;2340788,68726948
Tachigali chrysaloides;4873678,8368;12;1;4903056,45703302
Tachigali chrysophylla;522234223,586;424;105;97696110,9991352
Tachigali colombiana;4142483,11;2;1;4264520,97135082
Tachigali davidsei;1233218,8136;1;1;1498965,65018696
Tachigali eriopetala;10093006,0596;17;3;8149644,21946033
Tachigali formicarum;44199339,764;68;30;15101520,6038695
Tachigali goeldiana;2811971,6884;12;3;1980838,20090417
Tachigali guianensis;165424337,552;197;82;30195442,3862813
Tachigali inconspicua;3455308,8634;1;1;3005279,40927549
Tachigali macbridei;14479106,644;17;5;7211203,88680479
Tachigali macrostachya;1275389,8058;1;1;1198027,79236527
Tachigali melanocarpa;2584061,867;34;23;1411850,21346437
Tachigali melinonii;76404238,696;238;67;18344229,6997539
Tachigali micropetala;126010403,8594;66;32;43517793,8239529
Tachigali multijuga;1876867,379;2;2;1516625,89128775
Tachigali myrmecophila;271438173,63;327;107;43525985,2238438
Tachigali odoratissima;11712778,8436;8;3;7019692,47631418
Tachigali paniculata;735379130,728;691;163;146174376,406288
Tachigali paraensis;104558273,8912;201;74;24136504,6991164
Tachigali plumbea;16551305,1638;44;21;3968958,37184936
Tachigali poeppigiana;315143498,04;487;55;134892548,998112
Tachigali ptychophysca;42264280,6642;44;5;36944932,1374231
Tachigali pubiflora;9566062,9756;2;1;10343236,8386551
Tachigali reticulosa;4528160,612;3;3;2842736,73912614
Tachigali richardiana;21073403,9856;51;15;8323129,69536157
Tachigali rigida;32760063,0342;20;5;16939781,6886896
Tachigali rugosa;403151624,748;416;37;68267302,2445785
Tachigali rusbyi;33275434,7068;43;15;11230596,8555084
Tachigali schultesiana;480655,695;1;1;542071,134724289
Tachigali setifera;108753231,0562;69;31;31828876,5886712
Tachigali tessmannii;58898651,9298;77;8;33294221,4142826
Tachigali tinctoria;8226725,8736;3;2;5870765,47295345
Tachigali vasquezii;44514312,0706;48;9;23915957,0101671
Tachigali venusta;217036042,724;244;59;47373868,9173476
Tachigali vulgaris;22531874,2524;20;9;12327643,7701866
Talisia acutifolia;7469862,5636;4;4;3296249,93324317
Talisia angustifolia;93371584,0886;116;31;45147583,4895718
Talisia carinata;15689001,1854;11;6;8958314,18371786
Talisia cerasina;102294884,4944;96;40;31974781,3510948
Talisia clathrata;4879631,1808;12;8;2048800,34383461
Talisia coriacea;957841,002;1;1;1217204,91480376
