Accepted_species;n.ind;n.plots;est.ind;population.mean;population.sd
Piper_pilirameum;2;1;1183412,37952131;1255205,5070818;1206944,45504131
Erythroxylum_umbu;3;2;1215455,53752456;1253629,4369306;867803,897404548
Licania_cidii;1;1;1319170,54231467;1253408,47696;1269131,57013541
Fusispermum_laxiflorum;2;1;1235463,38511084;1250986,1215654;1236904,62884253
Coussarea_grandis;3;2;1197793,35313206;1249194,172503;1008169,80741719
Ilex_ovalifolia;5;4;1158280,18872962;1248928,8756286;633460,740247844
Miconia_urceolata;1;1;1379521,94238869;1241104,728122;1077317,67095874
Bellucia_strigosa;3;2;1216520,4447265;1239683,8309446;815849,405189496
Taralea_cordata;5;1;1174577,90544227;1239490,6558122;1214395,82470964
Guapira_sancarlosiana;1;1;1335400,18690574;1238481,6986254;1113247,35430514
Pachira_coriacea;1;1;1335400,18690574;1236799,5521062;1176029,24234435
Caraipa_jaramilloi;3;1;1173535,39404509;1236551,0040298;1196421,4874799
Micropholis_grandiflora;1;1;1253850,54074706;1235236,6986414;1198670,29344825
Chrysophyllum_oliviforme;2;2;1192567,79515264;1234509,0046232;763311,505829955
Cybistax_antisyphilitica;2;1;1166885,93982448;1234149,4081028;1207992,18370248
Vochysia_tetraphylla;4;2;1263985,06789148;1233860,217182;984359,159119566
Annona_glomerulifera;6;5;1138984,25688491;1232760,8421642;612571,974274888
Aiouea_napoensis;3;3;1243502,16092673;1232455,122425;767516,138267098
Couepia_trapezioana;2;1;1250637,56824863;1232027,0305456;1209722,56733459
Dicymbe_pharangophila;1;1;1335400,18690574;1227963,5592332;1174805,14322676
Faramea_platyneura;3;3;1251477,22987016;1224999,2516218;727388,518889394
Miconia_eriodonta;3;3;1135783,73755126;1224793,0755209;872137,504131097
Pouteria_simulans;8;5;1158003,40384422;1224474,8953086;566967,324358027
Xylopia_trichostemon;3;1;1251897,35208031;1222408,8363856;1270282,18442997
Solanum_cyathophorum;2;1;1180282,37376265;1220984,3668116;1212084,02397437
Hirtella_guainiae;1;1;1164877,21271581;1218097,9649514;1171852,58987631
Quararibea_putumayensis;3;2;1168525,14731745;1215486,3221684;858529,633308386
Ocotea_nilssonii;1;1;1158714,62893412;1214449,487468;1204584,88755807
Inga_inflata;5;3;1137434,28329397;1214127,662522;693990,327927046
Vochysia_leguiana;13;3;1093571,54434106;1213874,3890034;775298,546196423
Terminalia_nitidissima;2;2;1444376,61048905;1212896,5964858;708561,797938773
Croton_blanchetianus;2;1;1231010,51647264;1211076,648227;1219545,27864306
Eschweilera_macrocarpa;1;1;1281485,45760742;1207453,6571182;1209321,15918955
Licaria_polyphylla;1;1;1158714,62893412;1206995,7613092;1231674,02354857
Carapichea_pacimonica;1;1;1319170,54231467;1205681,9989;1256463,50819661
Hirtella_burchellii;1;1;1094406,75036621;1199360,0244462;1202845,04448526
Swartzia_parvifolia;2;2;1158835,68527163;1197335,913902;919328,219547307
Palicourea_amapaensis;1;1;1125399,71341511;1195812,7813052;1238340,51507678
Pseudoxandra_duckei;1;1;1125399,71341511;1190607,96634;1139528,58212281
Licania_cordata;1;1;1140150,60803369;1190252,9991216;1226094,38960059
Inga_tarapotensis;3;3;1152195,284057;1184556,3677874;645947,963784326
Faramea_axillaris;1;1;1162730,34307987;1184234,2772414;1050000,80545568
Eumachia_deinocalyx;1;1;1218013,85157677;1184005,1453898;956532,133017459
Lacmellea_microcarpa;1;1;1195198,94576267;1179411,5697884;1120198,13591369
Miconia_bullifera;4;1;1078559,42908883;1173069,7760892;1113064,34745765
Annona_neoamazonica;1;1;1162730,34307987;1173008,6622852;1042611,58068322
Tabernaemontana_macrocalyx;1;1;1281485,45760742;1170468,48618;1167561,71085181
Palicourea_grandifolia;2;2;1211645,23207251;1163335,8121242;909040,686052385
Tachigali_macrostachya;1;1;1528149,50665642;1162339,904664;945437,369668916
Duguetia_arenicola;2;2;1037571,98007909;1162041,4988306;857833,162573459
Cynophalla_flexuosa;3;3;1170444,07962123;1159479,0635124;736093,619851696
Palicourea_nigricans;1;1;1140150,60803369;1154492,9980136;1206627,95268947
Vitex_panshiniana;2;2;1062946,90354292;1153651,22948522;1058965,93773581
