Species;population;N ind;N plots
Apeiba_membranacea;227754161,356612;694;170
Apeiba_petoumo;201668378,353556;534;144
Apeiba_schomburgkii;42992146,4794764;91;28
Apeiba_tibourbou;211334499,332443;279;116
Apeiba_uittienii;1949438,60003918;3;1
Aphandra_natalia;5173895,62196111;4;2
Aptandra_caudata;766424,950777989;1;1
Aptandra_liriosmoides;2117483,93889838;2;2
Aptandra_tubicina;94585788,7622138;136;65
Apuleia_leiocarpa;192864396,96172;362;137
Aralia_soratensis;162515,859180908;2;1
Aralia_warmingiana;726763,726874339;1;1
Archytaea_triflora;631257,741347304;1;1
Ardisia_guianensis;2211680,63760996;3;2
Ardisia_spruceana;1776705,49451237;2;1
Aspidosperma_album;75944336,3557457;228;93
Aspidosperma_araracanga;32744459,6703421;51;26
Aspidosperma_australe;2083206,82438772;4;3
Aspidosperma_capitatum;4664350,43176077;11;9
Aspidosperma_carapanauba;113039768,606088;275;101
Aspidosperma_cuspa;235022139,095095;316;7
Aspidosperma_cylindrocarpon;81963612,0121196;151;19
Aspidosperma_darienense;26239861,9348857;102;14
Aspidosperma_desmanthum;169987756,593273;998;232
Aspidosperma_discolor;64593615,8049026;167;55
Aspidosperma_excelsum;915638323,841856;3230;507
Aspidosperma_fendleri;8833509,97628782;35;14
Aspidosperma_helstonei;2154022,78496202;7;6
Aspidosperma_inundatum;1921863,40169657;56;6
Aspidosperma_macrocarpon;69226392,2700954;118;33
Aspidosperma_megalocarpon;5654835,6963922;9;7
Aspidosperma_multiflorum;27201781,1986862;66;12
Aspidosperma_myristicifolium;9595994,38602793;28;11
Aspidosperma_nanum;3703553,62609255;9;3
Aspidosperma_pachypterum;4027241,01828765;9;5
Aspidosperma_parvifolium;156282946,952654;400;103
Aspidosperma_pichonianum;21349187,2310523;20;8
Aspidosperma_polyneuron;49071811,2021513;73;11
Aspidosperma_pyrifolium;919130,978804736;3;2
Aspidosperma_rigidum;203223426,753692;400;139
Aspidosperma_schultesii;84861342,5221233;237;43
Aspidosperma_spruceanum;178843482,177697;740;173
Aspidosperma_subincanum;4543401,26592377;51;7
Aspidosperma_tomentosum;12532045,2633843;18;3
Aspidosperma_ulei;4531344,14366608;11;5
Asteranthos_brasiliensis;2574826,99453499;4;1
Astrocaryum_aculeatum;389140642,817069;656;142
Astrocaryum_chambira;135353164,653025;311;75
Astrocaryum_farinosum;2309046,31504076;4;1
Astrocaryum_ferrugineum;219885747,863054;571;25
Astrocaryum_gynacanthum;68203743,2507757;513;24
Astrocaryum_jauari;531715718,704396;983;89
Astrocaryum_murumuru;2239963776,06219;9604;323
Astrocaryum_rodriguesii;1120191,59097089;6;4
Astrocaryum_sciophilum;481591209,401503;1676;91
Astrocaryum_ulei;9238755,02573783;4;1
Astrocaryum_vulgare;11067666,726964;92;10
Astronium_fraxinifolium;38933973,5501822;80;17
Astronium_graveolens;160229469,74416;475;110
Astronium_lecointei;255312349,601882;511;212
Astronium_obliquum;42442290,0178811;127;57
Astronium_ulei;21495157,7652778;102;37
Ateleia_guaraya;7806821,97985402;7;2
Attalea_butyracea;899711066,905319;2004;88
Attalea_insignis;1701309,2795726;5;1
Attalea_maripa;823306579,694954;1807;297
Attalea_phalerata;1014790147,54249;2132;119
Attalea_speciosa;1515573238,3528;2096;108
Attalea_tessmannii;592103,700380903;1;1
Ayenia_praeclara;777111,987212211;9;1
Bactris_balanophora;9231992,67080952;13;6
Bactris_gasipaes;22534899,8373231;39;22
Bactris_guineensis;1179808,77945856;42;1
Bactris_major;2556252,35549354;91;1
Bactris_maraja;1338884,59924041;4;1
Bactris_riparia;550836,955244895;2;1
Bagassa_guianensis;43649936,613458;85;66
Balizia_pedicellaris;58486795,9291037;319;128
Banara_arguta;8129427,85532252;11;7
Banara_guianensis;19015405,0381438;59;32
Banara_nitida;39531165,3820225;77;36
Banara_tomentosa;406289,64795227;5;1
Barnebydendron_riedelii;9978316,09500225;23;11
Batesia_floribunda;54020571,421723;166;98
Bathysa_bathysoides;34327519,8892499;81;5
Batocarpus_amazonicus;76218358,0325621;169;78
Batocarpus_costaricensis;59446149,1580522;101;38
Batocarpus_orinocensis;58977328,9866305;174;64
Bauhinia_arborea;10190148,9093966;52;17
Bauhinia_brachycalyx;58132776,6911822;189;48
Bauhinia_cinnamomea;1690707,65190308;4;3
Bauhinia_eilertsii;6361536,79931779;17;2
Beilschmiedia_costaricensis;467822,244150266;1;1
Beilschmiedia_hexanthera;122122,696288716;1;1
Beilschmiedia_pendula;3740648,67981719;14;10
Beilschmiedia_sulcata;1096534,59162464;1;1
Beilschmiedia_tovarensis;1811369,63576198;8;5
Bellucia_aequiloba;526948,731371159;1;1
Bellucia_arborescens;6966850,76758289;38;27
Bellucia_dichotoma;28062030,6090755;113;25
Bellucia_grossularioides;231158256,244737;721;110
Bellucia_huberi;2285097,05695033;3;1
Bellucia_klugii;396404,913475161;1;1
Bellucia_ovata;4863124,16751278;11;4
Bellucia_pentamera;13181686,3876231;27;16
Bellucia_spruceana;2510911,55831067;9;8
Bellucia_strigosa;2097396,8204397;7;4
Bellucia_subandina;2417528,03995303;8;4
Bellucia_umbellata;1131986,6904946;3;2
Bertholletia_excelsa;272409203,513049;542;189
Bertiera_guianensis;3295026,30347508;4;4
Billia_rosea;3541362,02601582;19;4
Bixa_arborea;86388769,4046768;163;61
Bixa_orellana;107915468,334688;209;58
Blastemanthus_gemmiflorus;4069554,81933497;11;3
Blepharocalyx_eggersii;2735788,6520441;13;11
Bocageopsis_canescens;82371207,5017305;126;25
Bocageopsis_mattogrossensis;16441015,3791394;41;10
Bocageopsis_multiflora;524910584,288829;1620;322
Bocageopsis_pleiosperma;23021509,1045721;49;27
Bocoa_prouacensis;103760119,221971;786;81
Bocoa_viridiflora;176207506,108191;598;181
Bonellia_mucronata;6779781,49905619;9;2
Bonnetia_paniculata;994675,250935783;3;1
Bonyunia_aquatica;6268062,42500179;10;7
Bonyunia_minor;1311078,77486856;2;1
Bothriospora_corymbosa;16056470,7422199;27;10
Botryarrhena_pendula;38174933,0339813;87;42
Botryarrhena_venezuelensis;6791112,51991933;9;7
Bourreria_exsucca;2908797,18158616;8;2
Bowdichia_nitida;35850477,7650775;165;46
Bowdichia_sebipira;485187,732859464;1;1
Bowdichia_virgilioides;34530856,3574086;62;20
Bravaisia_integerrima;2510556,7177682;7;2
Brosimum_acutifolium;182259118,087765;365;205
Brosimum_alicastrum;133772035,982257;317;92
Brosimum_gaudichaudii;15124142,8237384;19;10
Brosimum_guianense;1049756211,08593;2697;640
Brosimum_lactescens;1556065696,97886;3035;448
Brosimum_longifolium;1967322,67248694;6;6
Brosimum_melanopotamicum;6086394,88077773;13;11
Brosimum_multinervium;5343367,55392978;13;8
Brosimum_parinarioides;208217321,741214;569;265
Brosimum_potabile;97311656,1409846;263;109
Brosimum_rubescens;793721339,286622;2531;597
Brosimum_utile;347010106,595389;732;297
Brownea_coccinea;96210574,7676507;207;38
Brownea_grandiceps;89462851,2564911;369;53
Brownea_longipedicellata;2000108,97717298;3;3
Brownea_macrophylla;50379071,2452503;199;8
Browneopsis_cauliflora;4443482,4440799;9;3
Browneopsis_disepala;340880,274542665;1;1
Browneopsis_peruviana;541711,767798858;5;1
Browneopsis_ucayalina;100283627,494213;197;25
Browningia_altissima;656761,986426392;1;1
Brunfelsia_grandiflora;899790,248829726;1;1
Buchenavia_congesta;48837934,4348422;116;73
Buchenavia_fanshawei;3249066,84637104;14;6
Buchenavia_grandis;156427078,16689;394;212
Buchenavia_guianensis;18230769,9817387;52;29
Buchenavia_macrophylla;117741732,007574;184;84
Buchenavia_nitidissima;1282580,42008552;2;2
Buchenavia_ochroprumna;33568812,5972063;140;14
Buchenavia_oxycarpa;94274792,0298717;213;49
Buchenavia_pallidovirens;541173,518275902;2;2
Buchenavia_parvifolia;118431939,366995;275;167
Buchenavia_reticulata;16030568,0138496;23;10
Buchenavia_sericocarpa;3283546,44730937;20;14
Buchenavia_suaveolens;38035036,0093661;64;6
Buchenavia_tetraphylla;71544941,0623931;138;82
Buchenavia_tomentosa;32533105,0313645;80;46
Buchenavia_viridiflora;90155885,0550176;183;76
Bunchosia_argentea;8253682,25583864;36;21
Bunchosia_glandulifera;2213973,41678008;2;1
Bunchosia_hookeriana;243933,280115998;1;1
Burdachia_duckei;334038,661826183;2;1
Burdachia_prismatocarpa;6072705,15051431;10;5
Burdachia_sphaerocarpa;992647,537304464;1;1
