Species;population;N.ind;N.plots
Diplotropis purpurea;261477332,707298;612;257
Trichilia cipo;261007163,465785;416;116
Sacoglottis mattogrossensis;260746027,007624;554;96
Mabea piriri;260548243,189059;1063;159
Hymenopus oblongifolius;260548029,111174;817;162
Casearia arborea;260198428,010806;671;163
Mora gonggrijpii;259670669,860415;998;25
Dicymbe uaiparuensis;258707224,016736;1003;12
Pouteria gomphiifolia;257931858,337141;549;76
Astronium lecointei;257606887,259439;522;217
Matayba arborescens;254683287,625635;568;113
Maquira guianensis;254555448,866303;967;329
Eschweilera subglandulosa;253810565,93091;908;66
Schefflera morototoni;252408514,194398;675;305
Inga rubiginosa;252220781,159232;1254;261
Bertholletia excelsa;251912446,663044;565;197
Castilla ulei;249957394,347948;430;153
Licania canescens;249694831,98754;1073;269
Otoba glycycarpa;248466448,631949;1089;97
Iryanthera elliptica;246637146,252006;493;161
Tachigali guianensis;244924969,64697;633;137
Manilkara elata;243000284,801042;884;255
Tapura acreana;242640681,748271;359;44
Pseudopiptadenia suaveolens;242508778,145563;1073;290
Protium unifoliolatum;242418595,383473;760;110
Protium robustum;242243239,721463;459;123
Ampelocera edentula;241789920,668585;636;293
Amanoa oblongifolia;240501959,535228;775;41
Protium rhoifolium;240464723,62144;563;162
Trymatococcus amazonicus;240093272,608467;562;235
Guazuma ulmifolia;239461318,307647;623;143
Hymenopus macrophyllus;238536866,904467;876;179
Cedrelinga cateniformis;237953790,675406;510;157
Chlorocardium rodiei;237706885,764956;1030;31
Lecythis lurida;237155595,824473;603;155
Acosmium cardenasii;236553185,930423;399;13
Licania alba;236496962,460829;1516;137
Pseudolmedia rigida;236461370,962137;544;59
Iryanthera lancifolia;236412127,61674;1027;166
Inga marginata;236126678,98834;722;196
Garcinia madruno;235325515,080933;523;245
Mabea subsessilis;234848806,753569;388;43
Discocarpus essequeboensis;234702735,229953;649;47
Oxandra mediocris;234120857,468112;561;91
Hydrochorea corymbosa;233752965,241337;639;138
Pera bicolor;233360808,220181;724;119
Protium nodulosum;233356281,765083;665;155
Chaetocarpus schomburgkianus;233047353,638162;968;112
Eschweilera tenuifolia;231258363,282168;565;35
Mauritiella aculeata;230480856,595817;477;32
Trattinnickia glaziovii;230232996,060203;508;111
Copaifera multijuga;230018129,573781;317;134
Matisia cordata;229766188,9998;584;64
Senegalia polyphylla;226731810,23158;370;75
Iryanthera hostmannii;225974056,299846;619;147
Urera caracasana;225771708,867154;400;60
Protium pilosissimum;225716967,485615;702;56
Alchornea triplinervia;225558288,154561;457;97
Catostemma commune;225381536,266747;899;57
Protium opacum;224929042,203632;925;257
Perebea guianensis;224466397,701843;582;179
Eschweilera itayensis;224189275,890145;490;87
Myrciaria floribunda;222484624,644493;743;175
Pourouma tomentosa;222136496,446167;668;248
Pouteria anomala;221280127,82573;1332;229
Iryanthera macrophylla;220485572,243245;519;110
Tachigali poeppigiana;220309229,175816;592;88
Licania densiflora;219818102,888216;799;69
Leptolobium nitens;219182206,940488;1153;76
Dendrobangia boliviana;219035834,628476;1044;266
Eschweilera collina;218865051,12252;975;166
Bellucia grossularioides;218473353,170683;720;109
Apeiba membranacea;217864424,570071;854;178
Swartzia reticulata;217621534,495535;819;137
Protium subserratum;217015515,162532;589;237
Cecropia distachya;216801698,849504;611;163
Glycydendron amazonicum;215772427,199165;597;267
Pourouma mollis;215440969,818017;1054;179
Iryanthera paraensis;215419240,926923;411;111
Maquira sclerophylla;214987412,90588;847;185
Poulsenia armata;214724933,907542;519;68
Anadenanthera colubrina;214390677,771546;383;25
Oxandra espintana;212867760,656134;451;25
Ficus maxima;212842220,400176;573;185
Crateva tapia;212806439,152964;712;57
Heterostemon mimosoides;212662686,021185;651;35
Pausandra trianae;212631024,973849;669;71
Sorocea briquetii;211265022,942241;561;75
Xylopia frutescens;210802611,66439;299;43
Chaetocarpus echinocarpus;210345449,871639;429;26
Croton matourensis;210149559,480183;1301;157
Hevea pauciflora;209444473,732719;436;55
Hieronyma alchorneoides;208682321,735622;659;161
Clathrotropis glaucophylla;208272506,045251;458;22
Maquira calophylla;207956150,847328;771;243
Thyrsodium spruceanum;207938259,43623;652;256
Pterocarpus officinalis;207933386,861865;1568;142
Casearia javitensis;206876094,080847;1008;311
Simaba cedron;205394985,90877;689;186
Pouteria gongrijpii;205315290,333238;1751;212
Micropholis gardneriana;205100690,371761;2860;16
Astrocaryum ferrugineum;203969429,408968;571;25
Iryanthera sagotiana;203946709,486028;1316;171
Inga lateriflora;203753298,424771;336;85
Calycophyllum spruceanum;202625143,264099;724;103
Ocotea leptobotra;202208026,716466;779;138
Dicorynia guianensis;202086837,667811;1362;123
