species;population;N.ind;N.plots
Eschweilera_pseudodecolorans;167374419,653256;272;72
Nectandra_cuspidata;165670042,885985;219;72
Quararibea_ochrocalyx;165621578,45691;226;64
Pouteria_anomala;165576069,918902;472;135
Parkia_igneiflora;164297481,465099;200;52
Couratari_stellata;164264636,798864;414;126
Licania_buxifolia;163616249,246745;779;20
Capirona_decorticans;163474451,795721;364;101
Oenocarpus_mapora;163428604,135315;374;83
Poincianella_pluviosa;163246246,319506;274;6
Copaifera_multijuga;162258971,784068;113;55
Perebea_guianensis;162091363,11216;358;114
Duguetia_echinophora;161951358,926116;250;78
Eschweilera_subglandulosa;161907068,599174;287;36
Matisia_cordata;161696135,704301;463;51
Maquira_sclerophylla;161061877,386495;248;109
Mollia_speciosa;160630658,493801;260;16
Chaetocarpus_echinocarpus;160569647,352412;292;17
Matisia_malacocalyx;160093177,411712;538;67
Geissospermum_argenteum;159932100,43777;407;78
Brosimum_parinarioides;159818960,281619;253;157
Gustavia_pulchra;159426856,980065;145;9
Swartzia_ulei;158739024,299557;264;33
Zygia_juruana;157461378,081879;239;40
Macrolobium_bifolium;157040748,359416;250;45
Licaria_cannella;157014001,118687;421;167
Protium_divaricatum;156941318,442755;264;68
Pouteria_glomerata;156683927,914773;314;75
Moquilea_egleri;156357317,294599;252;76
Clathrotropis_glaucophylla;155681710,604611;240;6
Fusaea_longifolia;154385857,446681;357;170
Digomphia_densicoma;154317865,613885;199;1
Oxandra_asbeckii;153913634,160178;840;81
Swartzia_schomburgkii;153396038,095493;316;89
Sorocea_steinbachii;152594869,162548;405;82
Aspidosperma_parvifolium;152428526,255917;363;89
Protium_robustum;152096281,264682;239;59
Dipteryx_odorata;151570258,980906;317;170
Lecythis_persistens;151288961,890135;1273;52
Cordia_nodosa;151078519,089322;313;108
Zanthoxylum_rhoifolium;150928965,726861;113;51
Alexa_confusa;150823450,510815;209;6
Matayba_elaeagnoides;150790202,410296;81;3
Theobroma_glaucum;150286941,575866;332;72
Senegalia_polyphylla;150104713,544355;166;35
Caraipa_longipedicellata;149765706,533309;143;9
Bellucia_grossularioides;149596800,525033;225;66
Elaeoluma_glabrescens;149356133,901715;239;22
Swartzia_racemosa;149314886,472156;451;90
Leptobalanus_longistylus;149139881,917184;191;79
Pouteria_trilocularis;148952210,089249;239;81
Hirtella_triandra;148576350,934369;324;77
Hymenopus_macrophyllus;148526609,643291;374;73
Swartzia_leiocalycina;148430219,447451;557;23
Pouteria_egregia;147699153,20506;347;56
Guatteria_schomburgkiana;147647161,882918;251;88
Simaba_cedron;147292394,339116;311;89
Croton_megalodendron;147027099,805986;310;12
Duguetia_pycnastera;146561193,394926;275;55
Astrocaryum_chambira;146114590,981845;269;65
Sorocea_briquetii;145996998,389886;462;61
Himatanthus_articulatus;145824139,397489;175;67
Anacardium_giganteum;145812015,31825;208;104
Protium_pallidum;145783430,809114;452;75
Pouteria_coriacea;145246143,504862;414;102
Pouteria_gongrijpii;145058217,233438;439;129
Ocotea_porosa;144308714,537648;75;2
Chimarrhis_turbinata;144174017,591084;405;142
Xylopia_nitida;143239612,312877;524;174
Leopoldinia_pulchra;142933515,78912;207;4
Apuleia_leiocarpa;142593539,222144;267;95
Neea_oppositifolia;142257098,016223;225;90
Swartzia_recurva;142245254,777679;371;139
Tapirira_obtusa;142062324,489383;417;142
Inga_stenoptera;141936014,70305;318;46
Theobroma_grandiflorum;141863126,786429;93;35
Hydrochorea_corymbosa;141150908,037202;246;60
Xylopia_benthamii;141080976,94131;295;92
Hirtella_bicornis;140568432,74289;310;109
Swartzia_benthamiana;140542457,569572;188;59
Nectandra_amazonum;139408884,188539;227;28
Casearia_arborea;139122410,311251;273;97
Protium_polybotryum;138733256,594154;365;75
Tachigali_venusta;138650718,127614;235;57
Pouteria_venosa;138293298,067914;263;94
Warszewiczia_coccinea;137363204,687791;206;45
Diospyros_guianensis;137220936,907253;509;56
Campsiandra_angustifolia;137067102,031495;201;24
Pouteria_filipes;136485302,882779;365;137
Aspidosperma_desmanthum;136427419,105828;264;121
Guarea_gomma;136281762,372423;361;108
Sandwithia_guyanensis;136004079,588807;692;67
Pseudopiptadenia_psilostachya;135675447,027334;441;126
Iryanthera_paraensis;135633189,65097;231;59
Qualea_rosea;135377969,054586;433;41
Oxandra_riedeliana;135319464,705523;204;34
Eugenia_patrisii;135208152,995823;312;126
Gustavia_coriacea;135067645,010029;173;6
Ocotea_splendens;134820281,949116;140;55
Catostemma_commune;134573005,637356;343;38
Siparuna_guianensis;134523060,328311;256;75
Licania_laxiflora;134216249,927279;530;66
Hevea_pauciflora;134171823,23466;191;29
Pterocarpus_officinalis;134034558,198159;1004;60
Sloanea_pubescens;133647295,750676;326;99
Pachira_insignis;133088904,599987;277;71
Lecythis_confertiflora;133079339,616756;459;38
Mora_paraensis;132630186,98484;635;19
Couma_macrocarpa;132488654,368026;200;99
Tapura_acreana;132048452,317771;186;30
Croton_cuneatus;131933263,436077;161;39
Lunania_parviflora;131741532,787889;450;58
Amaioua_glomerulata;131554890,346802;334;72
Iriartella_setigera;131437801,027675;127;9
Paypayrola_grandiflora;130780323,790371;249;131
Protium_crassipetalum;130307096,204981;181;70
Tabebuia_insignis;130206703,055148;570;23
Licania_impressa;129956942,909137;320;78
Myrciaria_dubia;129853965,873669;284;15
Pouteria_hispida;129744849,776196;239;126
Pouteria_multiflora;129651506,835546;215;51
Sloanea_robusta;129299563,684162;244;24
Micropholis_williamii;129257148,92814;313;109
Ilex_inundata;129001508,273439;229;25
Miconia_chrysophylla;128516217,712562;238;36
Couratari_guianensis;128433680,937112;256;166
Calycophyllum_spruceanum;126712730,101566;242;45
Perebea_xanthochyma;126620295,317274;325;90
Parinari_excelsa;126608759,647944;199;103
Zygia_inaequalis;126603031,017355;296;35
Unonopsis_duckei;126481988,18554;332;110
Pouteria_bilocularis;126432794,626911;227;107
Xylopia_frutescens;126370799,533007;114;27
Eschweilera_collina;126302217,196204;370;103
Eschweilera_micrantha;126251967,26876;919;107
Eschweilera_rufifolia;126115807,091987;313;67
Macrolobium_gracile;126033461,460562;232;35
Oxandra_xylopioides;125872730,617882;218;70
Aspidosperma_spruceanum;125446290,769024;240;107
Swartzia_reticulata;125131094,002928;333;85
Pouteria_engleri;122993516,668089;319;104
Onychopetalum_amazonicum;122517581,103675;229;83
Macrolobium_microcalyx;121794359,659821;258;44
Physocalymma_scaberrimum;121574955,621711;315;33
Eschweilera_ovata;121221969,11804;198;22
Anaxagorea_brevipes;120641862,407494;203;29
Clarisia_biflora;120634376,443817;365;118
Licaria_guianensis;119573805,666944;261;124
Myrciaria_floribunda;118655445,108667;191;106
Inga_splendens;118630348,777645;207;63
Helianthostylis_sprucei;118618345,061393;304;96
Aspidosperma_rigidum;118388515,991976;231;92
Amanoa_oblongifolia;118253391,598749;120;18
Chrysophyllum_venezuelanense;118015437,471395;272;91
Micrandropsis_scleroxylon;117953323,764269;276;26
Pradosia_schomburgkiana;117832725,092093;437;32
Hymenaea_parvifolia;117539012,112994;189;96
Piranhea_longepedunculata;117389963,80563;273;8
Pouteria_eugeniifolia;117352217,689882;306;159
Eschweilera_carinata;117028220,568771;66;25
Tachigali_melanocarpa;117002068,394333;94;33
Hymenopus_intrapetiolaris;116791192,913494;135;18
Maquira_calophylla;116735854,672825;260;156
Swartzia_tomentifera;116352745,367088;139;32
Sorocea_guilleminiana;116075258,875099;262;92
Terminalia_oblonga;115818365,082541;230;72
Hymenopus_latifolius;115753717,753376;189;59
Maprounea_guianensis;115736723,392751;206;74
Sloanea_latifolia;115646990,865092;165;68
Coussarea_albescens;115035009,59031;172;27
Eschweilera_cyathiformis;114886795,070217;258;40
Pseudoxandra_cuspidata;114763436,539044;141;11
Matayba_arborescens;114712234,422256;201;49
Martiodendron_elatum;114610676,712332;86;33
Quararibea_duckei;114457803,500041;416;14
Cecropia_ficifolia;113939409,212669;260;70
Neea_divaricata;113325622,953632;201;63
Matayba_guianensis;113300971,433166;222;37
Emmotum_floribundum;113034094,136095;140;18
Anaxagorea_dolichocarpa;112960512,848319;193;35
Tapura_guianensis;112843741,860042;383;105
Guarea_purusana;112835782,791569;147;52
Terminalia_grandis;112798593,938269;202;132
Xylopia_sericea;112008960,976671;214;41
Andira_unifoliolata;111907146,729017;181;86
Caraipa_grandifolia;111851188,950305;211;47
Brosimum_alicastrum;111706456,363556;250;73
Protium_guianense;111653013,282275;259;89
Guazuma_ulmifolia;111579037,538984;257;74
Guarea_grandifolia;111232557,620907;319;97
Swartzia_arborescens;111178180,049866;260;145
Micrandra_minor;111093346,418034;132;14
Peltogyne_gracilipes;110521532,204552;117;3
Bocoa_prouacensis;110443170,492504;736;66
Gallesia_integrifolia;109508432,369168;181;37
Inga_heterophylla;108952945,846397;216;82
Ocotea_canaliculata;108828941,125713;255;85
Bocoa_viridiflora;108472174,588919;310;106
Ocotea_cujumary;107680405,387754;188;84
Ocotea_percurrens;107563122,345893;286;90
Mouriri_nigra;107228278,729079;170;76
Allantoma_decandra;107147087,199716;180;95
Swartzia_cardiosperma;106221186,375042;278;64
Tovomita_calophyllophylla;106176148,717883;137;12
Lueheopsis_rosea;106069855,837731;199;96
Ficus_maxima;105703758,634151;263;92
Parkia_nitida;105452340,476174;314;160
Cynometra_bauhiniifolia;105033710,343472;102;18
Ecclinusa_ramiflora;104786757,102153;189;74
Micropholis_melinoniana;104665970,689558;308;79
Protium_crenatum;104312092,115691;182;35
Pouteria_jariensis;104269580,143645;274;130
Micropholis_maguirei;104267572,632829;141;6
Inga_auristellae;104201488,476896;249;79
Corythophora_alta;104181590,183852;216;70
Eschweilera_chartaceifolia;104141425,691537;179;53
Alchorneopsis_floribunda;104130229,177278;212;112
Cordia_alliodora;104112141,893098;210;75
Combretum_leprosum;103984342,274244;225;8
Croton_matourensis;103955639,06145;264;94
Ocotea_schomburgkiana;103541787,122484;471;35
Pouteria_campanulata;103312692,171908;185;101
Ruizterania_retusa;103113381,656903;389;11
Naucleopsis_ulei;103012700,107131;191;97
Eschweilera_romeu-cardosoi;103000798,383558;282;56
Jacaratia_spinosa;102981644,389211;164;62
Hebepetalum_humiriifolium;102623061,217749;377;134
Chrysophyllum_pomiferum;102457744,64743;223;104
Ceiba_pentandra;102341914,063824;168;89
Xylopia_ligustrifolia;102015100,882947;214;33
Leptolobium_nitens;101793219,36845;180;19
Ocotea_javitensis;101647842,231679;176;73
Virola_multinervia;100910006,173952;207;135
Campsiandra_comosa;100775224,910556;118;24
Richeria_grandis;100684591,247251;206;81
Tachigali_guianensis;100669525,218992;201;84
Vantanea_parviflora;100480612,361812;324;148
Carapa_surinamensis;100480013,310336;394;78
Trichilia_claussenii;100297223,418949;52;2
Sloanea_grandiflora;100277375,450354;214;100
Pogonophora_schomburgkiana;100049277,764352;378;102
Tachigali_vulgaris;100027646,703275;288;26
Lecointea_amazonica;99786955,5704533;151;53
Triplaris_americana;99619705,789143;251;58
Duroia_duckei;99446722,4029085;137;26
Heisteria_acuminata;99210691,3374222;177;81
Candolleodendron_brachystachyum;98970049,3445113;232;55
Erisma_laurifolium;98405372,1753915;161;17
Hasseltia_floribunda;98001618,0034325;175;55
