"species";"population";"N.ind";"N.plots";"pop.sd"
"Rinoreocarpus_ulei";967103458,618;806;67;277780978,998918
"Aspidosperma_excelsum";955570232,955601;2277;349;80785985,338252
"Pseudolmedia_laevigata";953372140,5844;1331;275;108893171,544002
"Attalea_speciosa";945800037,7754;865;43;240371133,315225
"Hevea_guianensis";936499567,4988;1550;288;75404228,8856788
"Protium_hebetatum";933150228,7784;1890;224;148004454,916329
"Eschweilera_albiflora";925102570,283;928;83;137261153,732713
"Cheiloclinium_cognatum";904839070,955199;765;107;216301142,755323
"Goupia_glabra";897734378,4306;1714;379;87552606,9642625
"Protium_picramnioides";892971496,1672;1476;329;95368233,4883137
"Minquartia_guianensis";883787346,289601;1700;527;45223868,3421448
"Brosimum_guianense";854485658,5878;1217;419;98834797,2179051
"Leptobalanus_apetalus";845213733,189599;1470;195;149725073,948049
"Eschweilera_wachenheimii";828988293,7234;1468;127;111099224,148541
"Ecclinusa_guianensis";824635582,460001;1554;296;92816068,7724384
"Gustavia_augusta";820780879,7158;1142;130;174368966,113231
"Eschweilera_grandiflora";812978783,6096;1666;217;103178888,036395
"Pseudolmedia_macrophylla";810185822,223599;988;161;118113221,603346
"Guatteria_punctata";800024229,604201;1512;306;47614626,6607114
"Dialium_guianense";799305889,561;949;317;68929772,5107666
"Symphonia_globulifera";799188158,889801;2053;394;72443685,403176
"Brosimum_rubescens";798723483,3742;1519;404;63301182,9536523
"Pouteria_guianensis";798082578,7586;1479;390;72824873,4537417
"Rinorea_racemosa";796174941,0818;1627;214;73072167,9628244
"Virola_elongata";795798232,396601;1136;230;101430467,831386
"Pourouma_minor";789087794,769601;1536;250;83071869,8215934
"Tapirira_guianensis";786819586,5296;1561;396;55840463,724323
"Pentaclethra_macroloba";762133317,066199;2756;77;116687152,501997
"Chrysophyllum_sanguinolentum";760897199,480201;1338;254;83161730,3208848
"Micrandra_sprucei";747825291,19006;843;10;345695230,574738
"Pterocarpus_rohrii";739370584,1532;912;227;121949501,298341
"Amphiodon_effusus";727291234,219199;849;80;164263224,043924
"Oxandra_polyantha";726925770,7256;827;29;243887907,238176
"Licania_micrantha";714894682,273001;973;216;104826336,807588
"Protium_sagotianum";705891799,301599;903;219;116735197,211627
"Jacaranda_copaia";699705937,6464;1404;444;55694208,7451937
"Attalea_maripa";698004278,1226;680;154;106108405,852671
"Carapa_guianensis";697257110,9708;1989;185;78850868,6299739
"Lecythis_idatimon";691909526,809;2838;114;60896772,7661825
"Inga_alba";688212273,055201;1405;351;50522245,2650407
"Virola_pavonis";682358906,9848;1082;187;82079710,8592422
"Amaioua_guianensis";670429615,502;1228;166;121471699,77404
"Micrandra_spruceana";661397666,1706;752;58;138197024,84895
"Mabea_speciosa";628788510,473799;946;153;97155342,2765971
"Iryanthera_laevis";621129454,704801;881;208;83773458,2930029
"Eschweilera_parvifolia";620789923,2944;1065;86;101831321,696234
"Pouteria_elegans";620702700,4874;817;78;133686618,298438
"Virola_michelii";611217356,2328;1313;266;48207487,8234082
"Pourouma_guianensis";600125048,8612;1161;260;66108052,1455879
"Cecropia_sciadophylla";599704414,5126;1012;276;69872160,6983672
"Eschweilera_sagotiana";582506797,485;2477;84;88634968,4983641
"Haploclathra_cordata";574653868,457664;543;6;314792540,097878
"Tachigali_paniculata";563535012,118;720;175;58032623,1854629
"Manilkara_bidentata";560097830,805599;1247;289;58838377,8024941
"Protium_tenuifolium";558903492,2034;679;201;106760129,438613
"Sagotia_brachysepala";557683767,93092;613;16;188329246,054076
"Eschweilera_pedicellata";554790102,729;1175;210;80984243,3117576
"Guarea_macrophylla";552765765,8942;1237;174;66123234,5063567
"Celtis_schippii";552307606,7986;928;137;122098147,163226
"Astrocaryum_sciophilum";550133239,615399;1504;73;131343299,570857
"Scleronema_micranthum";545292512,7284;992;181;50169521,380003
"Monopteryx_uaucu";541242221,61;428;31;219249137,299484
"Eschweilera_atropetiolata";540927660,744;1064;154;90236862,9569507
"Catostemma_fragrans";540678839,872201;2216;93;90052963,7196896
"Geissospermum_sericeum";539879704,339;963;134;51768085,9364889
"Eschweilera_tessmannii";533726954,561799;784;155;62386597,5891361
"Trichilia_quadrijuga";531803069,1682;474;106;133090777,359314
"Lecythis_corrugata";530123041,028;1719;111;60606416,0295512
"Simarouba_amara";519646716,2088;710;325;49554139,4680742
"Micropholis_venulosa";517266748,1416;955;334;65154663,0125018
"Pseudobombax_munguba";515750132,4466;751;49;163067765,456557
"Protium_decandrum";512364392,3302;1051;230;60512372,5348632
"Maquira_coriacea";507226475,6602;549;63;113241432,62678
"Pseudosenefeldera_inclinata";504206081,7462;1316;38;154449477,71986
"Eschweilera_parviflora";497647528,9564;1229;73;98902751,120743
"Guarea_silvatica";495099271,0212;391;131;82363793,7596202
"Leptobalanus_octandrus";492301257,2598;845;217;58885762,6710285
"Eschweilera_bracteosa";491450957,8092;658;143;99030028,551378
"Quararibea_wittii";489977668,8212;1199;77;92524017,7918471
"Mezilaurus_itauba";482673091,246;611;165;82432266,3827576
"Sterculia_pruriens";477940199,8706;1026;262;36592050,8054038
"Hirtella_racemosa";477630845,2634;831;108;77353488,5110323
"Osteophloeum_platyspermum";475619165,1476;752;280;38843424,6233993
"Otoba_parvifolia";473247734,899;1770;104;58613366,1300214
"Spondias_mombin";469466309,4916;829;195;57577909,3315828
"Eperua_purpurea";469414824,9922;441;14;145119880,386984
"Astrocaryum_aculeatum";469036147,4192;390;63;106765083,447695
"Conceveiba_guianensis";467405035,251601;780;328;60033724,976195
"Clarisia_racemosa";464572304,256601;759;278;31228705,381599
"Siparuna_decipiens";463390929,485;1036;258;46139323,5084153
"Sacoglottis_guianensis";462601305,0516;860;211;56069970,8224642
"Gustavia_hexapetala";462425973,8164;1071;216;49192570,4808618
"Ocotea_aciphylla";460791313,1114;598;144;71613757,8293728
"Pouteria_cuspidata";457748985,6368;712;253;47874439,1046934
"Luehea_cymulosa";455305808,59426;686;59;172387193,394023
"Pouteria_caimito";455204038,6554;747;239;41743891,0574909
"Macrolobium_angustifolium";454270219,8468;928;99;71665998,3876156
"Mora_gonggrijpii";454075431,26456;994;23;181458490,04819
"Dicymbe_corymbosa";453238584,46028;1158;9;176696352,426006
"Handroanthus_barbatus";448420109,69618;355;26;129079761,624893
"Protium_trifoliolatum";446427784,6764;669;181;67292254,7514043
"Attalea_phalerata";439081244,9192;545;50;110716258,802623
"Guarea_guidonia";435764798,046801;570;131;77396489,0522437
"Aparisthmium_cordatum";432882909,2486;544;120;84238746,9692667
"Laetia_corymbulosa";432442019,96204;835;24;165371124,301097
"Calophyllum_brasiliense";425184301,444;601;147;63408845,3050997
"Mabea_nitida";424696980,7928;445;52;125579379,787552
"Virola_sebifera";423789498,0186;697;206;45648471,7166017
"Inga_thibaudiana";421287671,4186;879;241;45434485,0409623
"Pouteria_reticulata";420588655,2692;819;283;39086547,1312674
"Caryocar_glabrum";420038692,879599;643;321;33809499,7762527
"Couepia_guianensis";415489121,2386;921;198;74728761,1516861
"Inga_lateriflora";413425842,32402;176;44;221628135,500422
"Inga_capitata";411105309,9128;591;173;53016722,8774824
"Xylopia_amazonica";408132015,3864;508;71;97158765,5258605
"Brosimum_utile";407230425,7818;537;215;46257165,7413597
"Bocageopsis_multiflora";399831012,472;708;183;59726892,9433878
"Lecythis_retusa";394576196,576954;125;22;237084206,496724
"Laetia_procera";393767391,7572;1017;276;42351942,8971074
"Tachigali_poeppigiana";392325993,57982;488;56;135176300,430784
"Eperua_grandiflora";389339006,051;1625;52;104530533,734091
"Iryanthera_ulei";388488932,8348;430;82;45524396,9065495
"Unonopsis_guatterioides";387191669,59;467;106;53556562,0377172
"Pourouma_bicolor";386093802,8592;697;194;37137148,041978
"Erisma_uncinatum";385955421,9878;594;120;76068730,6615243
"Zygia_racemosa";385013165,3904;886;258;25046616,4650909
"Qualea_paraensis";384730061,659;615;145;51648492,1847842
"Cecropia_latiloba";382780292,3992;633;43;133344070,065066
"Licania_densiflora";379256526,1984;720;52;118147408,281317
"Protium_aracouchini";377221986,3804;524;152;64058952,8812396
"Sagotia_racemosa";374537099,9138;869;87;67542002,1601269
"Sloanea_eichleri";374405299,5594;559;97;68145814,7377683
"Pterocarpus_amazonum";373692084,652;467;83;76251198,1454402
"Caraipa_densifolia";368923282,9426;441;56;99573467,0604712
"Miconia_pyrifolia";368725842,4412;515;69;78132492,1198835
"Leonia_crassa";366878729,5652;550;66;99782726,6390816
"Protium_pilosissimum";363358761,1266;546;38;71164842,9100561
"Diplotropis_purpurea";362433935,4022;439;192;48124597,5529747
"Vouacapoua_americana";360347949,9548;1153;127;48277053,4746862
"Himatanthus_sucuuba";359954971,298;416;147;46295096,2143418
"Trichilia_micrantha";359522155,4858;506;182;48561673,1363711
"Garcinia_macrophylla";355385451,9822;503;158;51481186,2977251
"Cupania_scrobiculata";354740682,0086;558;147;46113087,5526199
"Drypetes_amazonica";348598544,6398;676;116;51610657,0666976
"Macrolobium_acaciifolium";345879454,6776;404;70;97714452,5632434
"Eschweilera_amazonica";342942490,708;719;94;38711593,1628397
"Trichilia_pleeana";340822342,2718;601;105;56215848,6862263
"Hura_crepitans";340424089,7062;529;78;55617635,1703997
"Aldina_heterophylla";339713169,8002;486;31;86136757,6463839
"Triplaris_weigeltiana";338021419,15612;494;48;128264399,882724
"Pseudolmedia_rigida";336176796,11302;530;52;185392213,649904
"Pourouma_cecropiifolia";335197884,0096;682;156;43662724,2266308
"Cenostigma_tocantinum";333883976,18864;382;17;104573218,295374
"Ocotea_leucoxylon";332813373,38512;422;56;112083329,964661
"Vatairea_guianensis";331606023,795;442;113;52427844,0529261
"Swartzia_polyphylla";331179370,775;652;213;47544686,9505976
"Malouetia_tamaquarina";330773305,3396;327;47;63500430,0422446
"Tachigali_rugosa";329496165,9832;416;37;49470521,5203788
"Zygia_cataractae";327961169,032;335;26;87400452,8251888
"Astronium_lecointei";326085814,3576;222;113;117147802,50435
"Eschweilera_decolorans";325252615,3722;934;96;43251942,0861266
"Pouteria_cladantha";324096948,917;620;210;30452508,0782595
"Astrocaryum_jauari";320330080,5492;337;36;85043105,248318
"Chrysophyllum_prieurii";319763334,6036;496;167;54014217,2871915
"Pouteria_torta";314848951,7708;642;199;29962408,8420161
"Mauritiella_aculeata";314346728,35236;418;23;151170237,653204
"Tachigali_chrysophylla";314206138,8782;411;102;49010194,5505104
"Iryanthera_tricornis";313875916,0958;368;71;46166496,1790057
"Inga_marginata";313864069,4564;456;142;67362225,8320039
"Apeiba_tibourbou";309527138,325;195;80;64533389,3760664
"Quararibea_guianensis";308774213,5374;960;53;76783425,1752431
"Helicostylis_scabra";304245718,074;347;140;63111294,4879875
"Cecropia_membranacea";303397057,41316;362;68;131062227,591342
"Taralea_oppositifolia";303317477,3244;348;75;47083831,7302406
"Pouteria_macrophylla";303156187,2132;463;141;42291934,762081
"Rinorea_riana";302532828,0366;589;68;47314655,9344003
"Anadenanthera_colubrina";301033986,389;353;20;68027919,8896967
"Micrandra_siphonioides";300781349,1698;383;41;69529625,47846
"Mollia_gracilis";300303752,03402;335;22;132007008,454874
"Mabea_piriri";300021995,744;786;128;37913815,651891
"Ocotea_guianensis";299247458,6842;402;48;61874429,9300094
"Bertholletia_excelsa";298338728,8644;324;100;38190601,4384581
"Naucleopsis_caloneura";297458389,4524;522;128;48348428,6659668
"Protium_amazonicum";296060262,19;552;175;26748529,2296648
"Inga_rubiginosa";295936354,5904;509;181;27190402,1072535
"Peltogyne_paniculata";295704706,3602;312;114;83871508,4663961
"Pterocarpus_santalinoides";293173181,6916;551;61;65533634,7532812
"Abarema_jupunba";293135934,431;553;242;28353263,0897383
"Protium_altsonii";292185187,687;550;150;49010470,8082416
"Apeiba_glabra";291435532,0152;604;178;31696031,0567909
"Pseudopiptadenia_suaveolens";290879151,9844;507;201;27793998,0154707
"Protium_paniculatum";289464765,0036;577;152;44248864,7319359
"Cedrelinga_cateniformis";289248359,39;401;119;40774753,1661083
"Micrandra_elata";288338845,74954;684;21;116978085,278508
"Castilla_ulei";287052642,1706;308;113;38096164,9914192
"Apeiba_petoumo";286670882,7404;611;171;40616807,2163581
"Vochysia_vismiifolia";286409728,95042;263;50;67155846,1013137
"Sacoglottis_mattogrossensis";286134263,75174;479;73;136553504,50854
"Nealchornea_yapurensis";285695985,4324;309;81;47311002,3368267
"Cynometra_marginata";284711920,282;307;29;119851069,287576
"Hevea_nitida";284698653,2276;346;36;66953076,800899
"Licania_canescens";284491242,4134;665;182;35689648,9808649
"Hevea_spruceana";283723778,75;247;28;69558638,9201714
"Pouteria_procera";283474618,8178;457;125;43276997,4387082
"Inga_edulis";280453566,4814;436;104;41707213,1614807
"Ampelocera_edentula";280197190,6636;396;209;55259973,6135113
"Pourouma_ovata";276812917,168;326;96;67367775,9295081
"Chlorocardium_rodiei";275957633,55944;953;29;52953091,693335
"Dicymbe_uaiparuensis";275941654,36694;491;8;135494648,180547
"Couepia_paraensis";275935687,46462;261;29;110417291,577281
"Mauritiella_armata";275078414,639318;534;13;134416377,653773
"Licania_alba";274704080,2952;1072;106;37676509,4914388
"Drypetes_variabilis";274262669,8488;657;197;36064721,2095938
"Protium_unifoliolatum";273974084,44728;420;41;121376947,32874
"Macrolobium_limbatum";273818953,3562;374;130;34818397,6121583
"Protium_spruceanum";272898142,7868;489;152;46379581,0175549
"Protium_subserratum";272812610,5652;430;170;48557459,985066
"Leopoldinia_piassaba";272757646,99934;265;7;98637318,5270404
"Ocotea_leptobotra";272187824,2346;315;90;49767661,5011329
"Hymenopus_oblongifolius";271531567,2392;435;97;42450709,4529172
"Peltogyne_catingae";270563596,95198;153;42;56980091,89111
"Mollia_lepidota";270534163,24412;330;35;93496434,3180006
"Pourouma_mollis";270165816,3462;845;129;34512159,2690803
"Dendrobangia_boliviana";269643477,1928;892;201;26679670,4542901
"Crateva_tapia";269109648,76906;506;29;118776591,257702
"Acosmium_cardenasii";267755558,155884;399;13;123693108,077107
"Pourouma_tomentosa";265193825,7114;428;173;37612414,3490361
"Micropholis_egensis";264625049,3398;474;165;47549320,8324329
"Heterostemon_mimosoides";264215745,18332;409;21;90837529,8820068
"Handroanthus_serratifolius";262391284,9312;336;154;33422491,4477841
"Miconia_punctata";261444912,22046;329;117;52199183,1376259
"Alchornea_discolor";260384661,823;353;83;60990421,3149729
"Sapium_glandulosum";256475438,3122;409;132;47025862,9843223
"Sapium_marmieri";256299581,9262;446;131;32649383,1028628
"Endopleura_uchi";255855378,8048;359;126;26260146,4210273
"Hieronyma_alchorneoides";255503827,8794;468;119;65712072,0036664
"Enterolobium_schomburgkii";254261219,9772;427;156;31510863,6588855
"Cordia_bicolor";253092301,9572;374;104;38794962,5166084
"Sloanea_guianensis";252711840,6602;423;179;31712115,1726955
"Andira_fraxinifolia";251947732,925644;46;3;190401279,593564
"Oxandra_mediocris";251315688,07858;429;70;65934326,2077661
"Protium_nodulosum";251023066,4224;413;104;51793478,4005756
"Protium_opacum";250495308,5764;571;164;26983227,2455114
"Trattinnickia_glaziovii";249285921,5378;341;66;57053631,2384096
"Iryanthera_lancifolia";248946202,7512;631;114;57207139,6193977
"Coccoloba_densifrons";248601086,9744;444;111;35108771,5637603
"Terminalia_amazonia";248322734,644;432;145;36057579,0738506
"Lecythis_prancei";248034837,609;411;116;64329309,4803447
"Protium_rhoifolium";248023604,004;298;113;39717284,6141894
"Poulsenia_armata";247246161,50168;421;57;98808658,7750709
"Campsiandra_laurifolia";246748289,81118;303;28;115085016,496477
"Maquira_guianensis";246297989,8794;481;223;28821162,6265983
"Sloanea_floribunda";244761026,3314;333;160;27592770,3022834
"Licania_impressa";244743031,0156;346;82;60418119,9215055
"Eschweilera_punctata";243937280,51096;303;26;64140932,7535144
"Trichilia_septentrionalis";243719175,9424;459;173;70181904,0053697
"Mora_excelsa";243545927,95822;608;16;128092031,4774
"Toulicia_guianensis";243426760,0008;376;74;38804542,0275496
"Eschweilera_ovalifolia";243266253,95666;267;42;66944904,3536609
"Manicaria_saccifera";242980784,61294;663;14;115935908,536144
"Thyrsodium_spruceanum";242456302,0436;397;169;26398031,6033437
"Urera_caracasana";241083911,71606;324;48;86484649,8760877
"Apeiba_membranacea";238927360,1808;570;135;26552042,7109313
"Glycydendron_amazonicum";238330049,489;297;174;38445051,2759315
"Schefflera_morototoni";238100487,8178;361;196;25750025,5160154
"Matisia_ochrocalyx";237411657,9394;453;103;40520770,4319629
"Poraqueiba_guianensis";237370482,7814;911;135;25231192,8032789
"Alchornea_triplinervia";237070795,8699;265;65;111779213,528368
"Myrcia_multiflora";237004993,98874;263;37;89116068,1729734
"Iryanthera_elliptica";236588344,4682;326;100;46342389,0602695
"Ouratea_discophora";236206970,6155;363;63;63545147,377152
"Pausandra_trianae";235095114,05444;541;57;51916536,7868059
"Duguetia_spixiana";234137831,56514;443;68;52530152,5226121
"Tapura_juruana";233688748,0256;297;90;43919474,6081927
"Guapira_venosa";233090999,76842;318;27;61771559,2712655
"Ocotea_cinerea";232271144,2498;375;92;51123172,5507854
"Iryanthera_sagotiana";231799732,2738;998;126;39771819,5953672
"Paramachaerium_ormosioides";231688417,90792;353;48;71747948,7708388
"Casearia_gossypiosperma";231618225,637;350;49;49185391,8916796
"Sterculia_excelsa";231266969,5668;401;148;28518366,733992
"Parkia_multijuga";230994106,3352;331;153;27550014,5254566
"Caraipa_punctulata";229032951,93478;199;29;141853623,412249
"Dicorynia_guianensis";228106758,7346;1114;100;32591694,3369046
"Unonopsis_floribunda";227441900,8646;526;94;34487543,2334261
"Digomphia_densicoma";227320895,3024;199;1;210838185,048571
"Mouriri_apiranga";225833011,45306;258;44;106938113,91811
"Sarcaulus_brasiliensis";225023166,4878;597;165;29137505,6515477
"Manilkara_elata";224372999,8834;422;128;36486507,745605
"Perebea_mollis";224010770,748;216;101;38844134,1792784
"Iryanthera_hostmannii";223549539,2736;386;103;38458666,8140342
"Pseudoxandra_polyphleba";223041760,8678;240;46;49543904,1546134
"Zygia_cauliflora";222326225,95054;271;24;82505008,7604444
"Alexa_grandiflora";221021157,8124;265;19;59624115,7922689
"Capirona_decorticans";219572542,9502;364;101;35669168,027189
"Chrysophyllum_argenteum";219306636,3498;395;150;32094527,9570147
"Eschweilera_andina";219254103,86548;304;59;65782684,3169942
"Lacistema_aggregatum";218590054,9866;329;146;28405142,8480433
"Pouteria_glomerata";218100518,95346;314;75;53933340,766968
"Hymenaea_courbaril";217748476,104;284;137;25987581,3182009
"Anaueria_brasiliensis";217398337,0299;148;28;92622382,2288766
"Roucheria_columbiana";215053807,3172;363;126;28715035,1665219
"Garcinia_madruno";214932084,0742;309;153;32128647,9706267
"Mabea_subsessilis";213089473,5247;141;26;103525058,204748
"Iryanthera_macrophylla";213050210,29516;323;65;63535806,6798176
"Cordia_exaltata";212667871,4114;388;129;29534633,5564671
"Quararibea_ochrocalyx";212304408,4092;237;68;38156811,1440547
"Lecythis_lurida";212242834,9062;254;54;35118142,3807269
"Otoba_glycycarpa";212237588,24652;613;61;45134806,8954027
"Trymatococcus_amazonicus";211627700,1356;332;155;28517403,4793672
"Oenocarpus_mapora";211618210,7142;374;83;33648220,798517
"Trattinnickia_rhoifolia";211115854,2956;241;102;36400496,3456304
"Pouteria_pallens";209747590,692974;74;21;119182648,72085
"Licania_kunthiana";209701089,72518;310;76;54360356,3922666
"Rinorea_viridifolia";209426514,6551;505;56;55701764,1338846
"Vitex_cymosa";208871218,26706;359;30;87655232,574104
"Myrcia_amazonica";208814211,273;315;42;74122222,9361648
"Matisia_cordata";208270854,18102;463;51;46808935,0845754
"Tachigali_glauca";208058882,521;334;109;28737645,0173704
"Astronium_graveolens";207898923,87252;218;78;54900929,860881
"Euterpe_catinga";207303240,964238;255;8;102445143,242786
"Brosimum_acutifolium";206740615,158;255;139;27522956,0585872
"Inga_nobilis";206410052,184;447;128;31225909,350499
"Discocarpus_essequeboensis";204632837,0379;223;14;73589557,7551669
"Protium_goudotianum";203612699,3298;238;64;39606645,3378364
"Ormosia_paraensis";203030240,10002;229;101;39068473,3372388
"Ocotea_aurantiodora";203002414,3884;311;93;32278992,6246467
"Piranhea_trifoliata";202996383,03928;204;24;54230924,460609
"Tapura_amazonica";202733391,275;444;162;30404499,9830027
"Senegalia_polyphylla";201762834,55554;166;35;64548322,6027029
"Casearia_javitensis";201204776,7108;464;207;17935992,2899774
"Brosimum_parinarioides";200626284,513;264;159;30623060,163212
"Maquira_sclerophylla";200615886,7362;253;110;36377642,881454
"Micrandra_glabra";199443757,214398;372;3;188744896,031249
"Mouriri_grandiflora";198494563,56874;308;62;47341905,5248935
"Zanthoxylum_rhoifolium";197496200,20876;113;51;34525297,4621346
"Nectandra_cuspidata";197176865,02432;219;72;53016654,4531769
"Alexa_imperatricis";195683221,9721;399;18;61191668,9471059
"Cecropia_distachya";195350462,282;361;117;25603784,7591078
"Eschweilera_itayensis";194868199,77122;275;51;45655791,1120651
"Zygia_latifolia";194780015,9778;603;68;36597527,2018041
"Iriartella_setigera";194668232,825372;127;9;105528943,254413
"Poincianella_pluviosa";194543056,5875;274;6;66519680,0434377
"Fusaea_longifolia";193887733,8422;363;172;23641843,0061721
"Tachigali_venusta";193063096,38016;243;59;38266340,399426
"Licania_buxifolia";192796381,87736;779;20;55171260,6724735
"Eschweilera_truncata";192719904,95568;146;23;52005965,4353591
"Matayba_elaeagnoides";191992198,506661;81;3;112957931,199692
"Pterocarpus_officinalis";191807302,67412;1037;65;43407840,0717126
"Elaeoluma_glabrescens";190869895,5786;239;22;115911233,04012
"Neea_floribunda";190799870,51226;290;75;40267695,9490282
"Theobroma_grandiflorum";190419611,44552;93;35;43925686,7083202
"Aspidosperma_parvifolium";189676025,582;363;89;22464225,5398304
"Bellucia_grossularioides";189087956,75686;225;66;74255431,6517128
"Gustavia_pulchra";188636771,89491;145;9;81780428,9822676
"Copaifera_multijuga";188435073,49588;121;60;35970496,3681138
"Licania_membranacea";187302598,738;689;115;21060948,1430202
"Henriquezia_nitida";186706967,922762;169;6;149347396,999113
"Dipteryx_odorata";186091415,12;320;171;26568932,1712116
"Siparuna_guianensis";185986221,9188;256;75;30266360,7758589
"Zygia_juruana";185153417,62476;239;40;40753436,9376966
"Perebea_guianensis";184946572,1498;358;114;25278706,782653
"Ocotea_porosa";183928710,498;75;2;105390071,66961
"Eschweilera_pseudodecolorans";183723897,6018;272;72;87872042,088578
"Sloanea_pubescens";183589550,30222;326;99;48549315,8000357
"Chaetocarpus_echinocarpus";181767557,89854;292;17;58518383,7672432
"Caraipa_utilis";181455818,937696;256;6;82534157,4576117
"Apuleia_leiocarpa";180407710,0376;267;95;19015379,5267421
"Neea_oppositifolia";180008146,91622;226;91;38517777,1507
"Cordia_nodosa";179806261,1168;314;109;23012008,8280675
"Swartzia_ulei";179781933,28198;264;33;51422043,0608959
"Swartzia_schomburgkii";179415391,51734;316;89;30627825,0492559
"Licaria_cannella";179126279,1592;422;168;24241745,9940745
"Protium_divaricatum";178657864,31492;264;68;60555267,8596704
"Sorocea_briquetii";178464993,3818;462;61;25828657,2185303
"Anacardium_giganteum";178455579,2692;208;104;25125244,9102398
"Hirtella_triandra";178194184,98456;324;77;28239107,2111526
"Matisia_lasiocalyx";178176798,72764;247;29;46484582,2264925
"Clathrotropis_glaucophylla";177925071,162258;240;6;120257986,971526
"Eperua_glabriflora";177781948,4808;490;100;23288627,6336653
"Chrysophyllum_venezuelanense";177685499,23144;272;91;50128569,0354845
"Chaetocarpus_schomburgkianus";177285805,995;539;89;29558710,2882439
"Pouteria_anomala";177146577,2988;472;135;18124721,8133326
"Macrolobium_bifolium";176643335,3601;250;45;39250150,7128311
"Couratari_stellata";176597817,2702;414;126;20695300,3346018
"Matisia_malacocalyx";175756217,1764;538;67;24070969,9355626
"Geissospermum_argenteum";175679392,44194;407;78;30570474,4000872
"Parkia_igneiflora";175598947,57202;200;52;56062624,2789198
"Moquilea_egleri";175426207,00216;252;76;38989678,0414172
"Guarea_gomma";174889719,0166;361;108;24560096,6898185
"Sorocea_steinbachii";174739685,5522;405;82;28881748,989671
"Oxandra_riedeliana";174280299,3967;204;34;57908136,2868236
"Lunania_parviflora";174266596,32596;450;58;31786838,4187233
"Eschweilera_subglandulosa";174121071,3632;287;36;34450495,5895766
"Oxandra_asbeckii";173984312,45034;840;81;36359791,8769927
"Casearia_arborea";173596162,1314;273;97;31263705,9833902
"Xylopia_benthamii";173461369,5587;296;93;31055674,0365128
"Miconia_chrysophylla";172994149,50502;238;36;47394399,5976993
"Protium_robustum";172400042,7061;241;61;32894036,7534356
"Terminalia_grandis";171665104,54472;213;134;41920327,4671994
"Lecythis_persistens";170921730,7476;1273;52;20513368,9262348
"Matayba_inelegans";170627154,42;164;45;55436870,7085235
"Pouteria_trilocularis";170198927,91326;239;81;54112417,5406031
"Inga_stenoptera";169905343,19456;318;46;41339525,2099018
"Paypayrola_grandiflora";169828061,0406;255;134;24620608,0836526
"Leptobalanus_longistylus";169745385,69614;191;79;26771549,0290719
"Duguetia_echinophora";169654000,2112;250;78;35055047,4920493
"Swartzia_leiocalycina";168995273,2185;557;23;52473548,5670899
"Mollia_speciosa";168884127,44994;260;16;69649092,4980446
"Nectandra_amazonum";168088877,13768;227;28;55872484,0043332
"Guatteria_schomburgkiana";167726242,70618;253;89;31592149,4866252
"Theobroma_glaucum";166930841,081;332;72;26432134,1806023
"Simaba_cedron";166435277,6456;311;89;23326110,6294903
"Campsiandra_angustifolia";166182654,00718;201;24;38856069,2213659
"Himatanthus_articulatus";165156475,76468;175;67;36774528,71204
