"species";"population";"N.ind";"N.plots";"pop.sd"
"Pouteria_cuspidata";531313028,434;689;247;73955180,3949331
"Guarea_guidonia";526148284,558;504;117;192448031,964373
"Licania_octandra";522722981,448;853;216;67096800,2086999
"Tachigali_chrysophylla";522234223,586;424;105;97696110,9991352
"Caryocar_glabrum";522227899,904;644;323;54025267,7979182
"Conceveiba_guianensis";517306790,786;783;326;76655780,0959057
"Cecropia_latiloba";517125117,312;629;42;175432590,939508
"Eschweilera_bracteosa";509070139,304;655;140;107025978,163664
"Protium_aracouchini";508372236,598;511;152;102023436,547457
"Campsiandra_laurifolia";504513376,241;304;28;267908380,111788
"Licania_kunthiana";503952483,088;1116;84;138525356,412035
"Couepia_paraensis";497760033,206;263;30;249320439,019975
"Spondias_mombin";494921450,436;733;176;76400519,1357138
"Protium_trifoliolatum";493085692,038;663;181;112289370,26648
"Brosimum_utile";488950685,176;529;213;73477672,3859615
"Qualea_paraensis";487911946,574;613;143;80342715,1671261
"Cynometra_marginata";487722941,4592;336;30;245249467,788884
"Matisia_ochrocalyx";487006017,308;692;174;89680810,9915498
"Eschweilera_decolorans";485480595,316;925;95;75940405,4348118
"Triplaris_weigeltiana";483036476,808;513;48;157460167,585458
"Macrolobium_angustifolium";478391598,12;922;98;84832784,5859251
"Leonia_crassa";477281026,414;550;66;130965018,826093
"Laetia_procera";473309119,408;1022;277;62185893,306798
"Clathrotropis_glaucophylla";473031674,5514;279;7;339577711,637341
"Eschweilera_tessmannii";468183396,224;732;146;61843013,3224457
"Garcinia_macrophylla";465081970,532;640;196;78045714,0553763
"Bocageopsis_multiflora";462035514,79;706;182;77602616,8761647
"Inga_capitata";458334369,576;538;159;65134516,0337968
"Couepia_guianensis";458100587,504;916;198;96478022,1941513
"Cupania_scrobiculata";455591618,648;559;148;64822490,7669485
"Pouteria_reticulata";450795542,082;806;278;55631915,837957
"Micrandra_glabra";450113391,802;372;3;513716721,549083
"Pourouma_bicolor";446699850,434;705;195;64309482,8264076
"Diplotropis_purpurea";444844699,396;438;191;61431868,328794
"Acosmium_cardenasii";443994895,9916;399;13;249212051,521774
"Vouacapoua_americana";440763604,828;1159;128;88428343,4837587
"Mabea_nitida";438211986,806;443;53;143771420,639864
"Himatanthus_sucuuba";437422726,818;426;149;79906539,4108026
"Ocotea_cernua";430983340,85;522;175;68063865,7900711
"Inga_edulis";428831656,552;460;106;78093946,6685828
"Pourouma_cecropiifolia";425313685,566;688;156;79272235,1990345
"Trichilia_pleeana";425098431,294;598;102;70214876,3708163
"Sloanea_eichleri";424789887,156;560;98;78412082,3102586
"Hura_crepitans";421411046,85;527;78;70167478,6971586
"Mora_excelsa";418885373,0902;608;16;198369338,562483
"Cedrelinga_cateniformis";417258428,71;406;119;87626317,6370508
"Bertholletia_excelsa";416796038,904;324;100;55770214,3011538
"Apeiba_tibourbou";414417261,622;205;81;101766366,217298
"Zygia_cataractae";412981366,03;483;44;106474012,498844
"Cecropia_membranacea";411015561,7182;362;68;227305184,816148
"Zygia_racemosa";409098048,014;880;258;39741429,2502836
"Pterocarpus_santalinoides";407778862,752;595;60;111604662,469417
"Licania_oblongifolia";407515347,494;433;97;72666250,0703184
"Micropholis_gardneriana";404061354,3354;1865;10;168442216,656752
"Unonopsis_guatterioides";403799433,446;479;108;64633336,8168971
"Trichilia_micrantha";403655457,238;504;181;58562513,9429191
"Tachigali_rugosa";403151624,748;416;37;68267302,2445785
"Apeiba_aspera";401702257,128;757;185;48692634,0615729
"Mauritiella_aculeata";401534661,8044;420;24;166200317,480209
"Inga_lateriflora";400282998,3182;174;42;198761421,956087
"Swartzia_polyphylla";399001131,914;673;216;81523312,5021191
"Guapira_venosa";398198398,502;318;27;135469663,406544
"Quararibea_guianensis";398068323,394;982;53;96002787,2183583
"Alexa_imperatricis";396695267,1006;398;17;147188754,176509
"Inga_rubiginosa";396485627,916;494;175;53860176,1581477
"Drypetes_amazonica";394725591,752;676;116;72945415,3788601
"Sacoglottis_mattogrossensis";394589216,3502;488;76;208311581,893958
"Poulsenia_armata";392686199,5734;422;57;168463865,537493
