species;population;N.ind;N.plots
Matayba guianensis;143351109,134997;371;67
Ochthocosmus multiflorus;25231379,043135;225;5
Cordia tetrandra;102935214,605749;737;89
Geissospermum laeve;91083022,4781885;567;73
Guatteria subsessilis;153574718,215472;429;27
Marlierea schomburgkiana;29931935,380098;159;25
Quararibea guianensis;355709225,560878;1697;136
Matayba arborescens;254661146,128849;568;113
Astrocaryum aculeatum;344788603,946723;639;138
Virola pavonis;763070231,884301;1726;289
Hevea guianensis;920782401,749856;3648;442
Iryanthera macrophylla;220470054,095676;519;110
Cecropia ficifolia;144364615,117094;453;107
Crudia aromatica;48886491,926538;181;12
Diospyros poeppigiana;101225939,09294;330;49
Ecclinusa guianensis;640837539,41538;2587;438
Miconia ceramicarpa;18591176,9923699;311;13
Bathysa bracteosa;64656385,5697289;96;5
Malouetia tamaquarina;411176669,260913;699;96
Pourouma minor;682112129,831633;1986;343
Leonia crassa;282101211,119049;620;77
Protium sagotianum;747707614,95283;1795;330
Ferdinandusa rudgeoides;84685448,7532416;259;25
Handroanthus chrysanthus;16415600,9624983;34;15
Rinorea viridifolia;174539301,125777;562;67
Brownea macrophylla;44590464,6576414;199;8
Matisia ochrocalyx;176185547,73575;732;135
Mouriri angulicosta;76876961,8934052;233;60
Protium decandrum;491402592,514235;1882;337
Eschweilera tessmannii;655138391,867035;1368;244
Ephedranthus parviflorus;24070326,9026061;102;7
Amaioua glomerulata;137112337,137524;417;109
Socratea rostrata;21850251,4863889;226;7
Iryanthera juruensis;1216746401,47445;3013;511
Miconia pyrifolia;285641625,170215;954;88
Nectandra hihua;73013929,0674711;207;16
Macrosamanea pubiramea;15977624,2551172;130;6
Eschweilera amazonica;539124254,089731;3016;196
Pourouma guianensis;637389721,075897;2092;425
Nectandra amazonum;182763968,680924;468;61
Eschweilera ovata;87565801,7000849;313;39
Mollia speciosa;179662717,558791;464;34
Lecythis prancei;154617755,379555;1166;154
Otoba parvifolia;467648242,177556;2037;142
Micropholis guyanensis;1283831148,57374;3800;700
Mouriri apiranga;166425557,682717;331;69
Trichilia elegans;77781225,7779167;232;42
Anaueria brasiliensis;194784682,106066;206;51
Drypetes amazonica;442388076,005269;948;155
Ruptiliocarpon caracolito;66958247,7690731;116;23
Guatteria inundata;102079753,333018;162;21
Laetia procera;369010038,47639;1777;382
Licania impressa;67048741,6908201;682;89
Actinostemon amazonicus;32790591,056204;53;6
Croton megalodendron;76709684,2250379;310;12
Lecythis corrugata;474204030,818545;1966;139
Eschweilera andina;172765484,012797;344;71
Eschweilera wachenheimii;542716444,751067;1800;180
Inga stenoptera;143048940,369767;403;82
Terminalia ochroprumna;37961593,178555;151;21
Symmeria paniculata;161686008,969991;376;63
Matayba opaca;106794262,754345;617;44
Ocotea leucoxylon;201807425,990575;503;70
Spondias mombin;604504767,16519;1900;335
Mezilaurus itauba;475773490,752322;1126;318
Protium hebetatum;1022492724,64547;4373;338
Grias neuberthii;89184986,4077222;486;48
Maprounea guianensis;131132793,028748;289;101
Terminalia suaveolens;34144188,4045606;64;6
Protium apiculatum;1294070748,74395;4527;459
Toulicia pulvinata;60801693,3443409;164;27
Vismia sandwithii;112658921,695416;124;24
Terminalia dichotoma;116300370,786461;416;95
Lecythis confertiflora;148855328,16059;664;55
Matisia cordata;229763052,169369;584;64
Hieronyma alchorneoides;208644699,518874;658;161
Hirtella bicornis;151027806,729393;544;181
Caraipa densifolia;290077721,500412;566;80
Hydrochorea gonggrijpii;21390179,6694945;142;9
Xylopia amazonica;435404758,776677;1105;141
Geissospermum sericeum;402870327,456581;5912;190
Pagamea guianensis;66878441,6780496;236;23
Diospyros tetrandra;46623159,4820063;252;16
Parkia igneiflora;148364439,21288;280;68
Bocageopsis multiflora;488890042,759895;1622;324
Malouetia lata;31636732,8635708;216;17
Antonia ovata;33506943,7715919;155;39
Protium trifoliolatum;625291451,769357;1493;309
Trichilia septentrionalis;184715039,887628;664;224
Pterocarpus rohrii;707505167,161536;1560;373
Iryanthera ulei;455338713,265589;808;131
Goupia glabra;831682711,38712;3194;601
Aspidosperma rigidum;190179717,695629;423;145
Coussarea albescens;48768957,5831115;226;36
