species;population;N.ind;N.plots
Annona cuspidata;23345760,0739298;18;11
Annona densicoma;1677028,54627578;3;3
Annona dolichopetala;3742601,20159535;9;7
Annona dolichophylla;7206534,8166129;10;7
Annona duckei;9036200,20230945;24;16
Annona edulis;30779247,476012;48;30
Annona emarginata;823468,708238256;1;1
Annona excellens;5305609,76862893;6;6
Annona exsucca;140913193,949622;137;55
Annona foetida;24794875,5776923;31;22
Annona fosteri;11750575,3476639;15;6
Annona glabra;2498982,19111858;1;1
Annona glomerulifera;1501913,54493575;6;5
Annona haematantha;2308397,76310143;1;1
Annona helosioides;2095646,54074073;6;6
Annona herzogii;4467343,62231193;4;2
Annona hypoglauca;77053173,0225919;93;18
Annona impressivenia;36811698,0650942;45;8
Annona insignis;740877,883909827;1;1
Annona jucunda;631330,175321075;1;1
Annona leptopetala;6357094,66475566;2;1
Annona montana;47721738,958485;50;28
Annona mucosa;5057387,0932904;8;7
Annona muricata;7548653,96736223;11;2
Annona neoamazonica;1295046,38283747;1;1
Annona neochrysocarpa;5561096,38319932;6;3
Annona neoelliptica;2323863,34587897;7;5
Annona neoinsignis;38099918,8841046;43;31
Annona paludosa;1684198,83403858;1;1
Annona papilionella;113830408,320988;199;66
Annona poeppigii;954547,355247458;1;1
Annona prevostiae;1179134,01030863;8;6
Annona sericea;4438043,63827228;10;5
Annona squamosa;15892736,6618892;5;1
Annona symphyocarpa;9311839,06953682;15;4
Annona tenuipes;13542481,3327318;20;19
Annona williamsii;514147,263822306;1;1
Anomalocalyx uleanus;155669542,015058;86;18
Anomospermum grandifolium;3284740,3997504;4;3
Anomospermum reticulatum;1228068,18616019;4;3
Anthodiscus amazonicus;16870746,1728128;7;4
Anthodiscus klugii;13631581,2067531;23;20
Anthodiscus obovatus;1771186,00872397;2;2
Anthodiscus peruanus;4513903,5808591;6;5
Anthodiscus pilosus;13051823,1252835;23;15
Antonia ovata;41971485,195946;137;33
Antrocaryon amazonicum;7198821,92900117;7;5
Aparisthmium cordatum;557977354,283906;498;90
Apeiba albiflora;35734064,4781045;12;5
Apeiba aspera;414539459,476671;757;185
Apeiba echinata;125894727,50683;49;6
Apeiba glabra;171259431,549892;412;122
Apeiba intermedia;3770992,73908877;2;1
Apeiba macropetala;38947733,065714;27;5
Apeiba membranacea;12448382,5754648;6;1
Apeiba petoumo;234112494,619495;563;165
Apeiba schomburgkii;60059004,4130081;46;20
Apeiba tibourbou;427510442,19868;205;81
Apeiba uittienii;1885496,36954439;1;1
Aphandra natalia;8331800,80713035;4;2
Aptandra tubicina;89942223,8325762;80;32
Apuleia leiocarpa;225894811,50751;265;94
Aralia soratensis;1646937,41647651;2;1
Archytaea triflora;1321290,88268458;1;1
Ardisia guianensis;3635439,89028321;3;2
Aspidosperma album;117390462,211046;178;63
Aspidosperma araracanga;32513438,1569392;26;11
Aspidosperma auriculatum;64522140,1628989;43;13
Aspidosperma australe;565909,93997087;1;1
Aspidosperma capitatum;1084643,7338008;1;1
Aspidosperma carapanauba;80558534,5319355;66;36
Aspidosperma cylindrocarpon;131331311,542195;138;16
Aspidosperma darienense;39854240,3787325;102;14
Aspidosperma desmanthum;135697221,566743;216;98
Aspidosperma discolor;50933467,5060508;78;12
Aspidosperma eteanum;20862396,6850844;34;24
Aspidosperma excelsum;1096312262,27328;2105;290
Aspidosperma fendleri;11748935,9819113;34;13
Aspidosperma helstonei;4294968,73961384;2;2
Aspidosperma inundatum;1131792,56066808;5;4
Aspidosperma macrocarpon;102645710,792504;98;23
Aspidosperma megalocarpon;4512873,15752517;5;5
Aspidosperma megaphyllum;13409517,9819034;27;10
Aspidosperma multiflorum;51808914,5121749;66;12
Aspidosperma nanum;8427840,77911793;9;3
Aspidosperma nitidum;95301382,9374289;128;49
Aspidosperma oblongum;49125268,9816945;71;35
Aspidosperma obscurinervium;16154672,5451797;13;6
Aspidosperma pachypterum;9209511,27301888;8;4
Aspidosperma parvifolium;208755815,289104;221;57
Aspidosperma pichonianum;52399218,1395724;18;7
Aspidosperma polyneuron;24075238,1499083;26;9
Aspidosperma pyrifolium;3318084,94551408;3;2
Aspidosperma rigidum;207934865,914907;231;92
Aspidosperma sandwithianum;18948961,3115774;25;20
Aspidosperma schultesii;137958661,168312;95;23
Aspidosperma spruceanum;136256242,550785;211;92
Aspidosperma steinbachii;2962854,7207628;2;2
Aspidosperma subincanum;20411850,8118364;50;6
Aspidosperma tambopatense;9908014,77085487;17;6
Aspidosperma tomentosum;19316782,4972711;19;4
Aspidosperma ulei;10770306,4201822;10;4
Aspidosperma vargasii;78831670,7012644;125;24
Aspidosperma verruculosum;30052074,8684298;29;13
Aspidosperma williamii;6375859,38242846;17;10
Astrocaryum aculeatum;557181785,089181;391;65
Astrocaryum chambira;113546194,772574;206;65
Astrocaryum gratum;55603393,653127;82;5
Astrocaryum gynacanthum;199764513,980343;458;11
Astrocaryum jauari;360301988,772662;325;36
Astrocaryum murumuru;2417481293,29817;5748;195
Astrocaryum paramaca;2992719,42925481;13;2
Astrocaryum rodriguesii;2904526,2610895;5;3
Astrocaryum sciophilum;964584454,138075;1513;73
Astrocaryum urostachys;230402,570614075;1;1
Astrocaryum vulgare;42999354,589433;92;10
Astronium fraxinifolium;57321621,3019107;48;6
Astronium gracile;87068093,0519714;91;50
Astronium graveolens;176759826,140647;129;29
Astronium lecointei;358010477,387108;224;114
Astronium obliquum;96019541,2274514;127;57
Astronium ulei;34023690,8414843;73;23
Astronium urundeuva;20933249,1676378;18;1
Ateleia guaraya;11220744,9157761;7;2
Attalea butyracea;2118525533,40447;1948;68
Attalea insignis;3125743,23307783;5;1
Attalea maripa;957532591,478121;664;152
Attalea microcarpa;1110284,26192174;1;1
Attalea phalerata;609739577,867585;570;50
Attalea princeps;12112216,5718049;9;2
Attalea speciosa;1416025760,86217;866;43
Attalea tessmannii;1141548,32017485;1;1
Avicennia germinans;1368222,76569564;30;1
Ayenia praeclara;3227546,75796126;9;1
Bactris balanophora;29061164,8348201;13;6
Bactris gasipaes;37591397,7861586;33;18
Bactris major;4410658,67098314;91;1
Bactris minor;2035688,61737684;42;1
Bactris riparia;760487,358542388;2;1
Bagassa guianensis;66687139,4961617;61;46
Banara arguta;68721987,0126142;29;5
Banara guianensis;18921389,0260639;28;13
Banara nitida;53848327,2989607;41;17
Banara tomentosa;4117343,54119128;5;1
Barnebydendron riedelii;15841891,8304669;23;11
Batesia floribunda;37960931,8212575;82;61
Bathysa bathysoides;92865784,431589;77;4
Bathysa obovata;1051135,69239501;2;2
Bathysa peruviana;4669535,80670058;3;2
Batocarpus amazonicus;89706761,791759;129;56
Batocarpus costaricensis;68352412,6850972;89;35
Batocarpus orinocensis;56932182,4101528;134;51
Bauhinia arborea;14690577,4355622;51;16
Bauhinia brachycalyx;37621146,9748359;99;27
Bauhinia longicuspis;3798686,51756097;3;1
Beilschmiedia costaricensis;2862848,49251924;1;1
Beilschmiedia hexanthera;351808,199532325;1;1
Beilschmiedia pendula;3873216,93916235;14;10
